collection_id,instance_index,submit_time,schedule_time,finish_time,priority
383847670755,0,1233590119625,1233772652992,1234621833537,115
385299638638,373,1602708718160,1602902396770,1605641207294,114
376390405749,158,104803942303,104816146832,108977201460,118
376803929390,45,144158676698,144158933452,144216354294,118
380267904730,0,462167378362,462232223575,462255979120,116
398003557660,0,2261613243440,2261675324116,2261841849640,115
397191464506,688,2182438149423,2182488098046,2182966698683,101
380713241388,201,561515073372,561612840283,575306034219,116
384988723327,454,1527032788744,1527110885335,1527952981150,116
375064433379,547,18267141253,18613156746,20844296671,114
378098062166,0,241504139221,241504757598,241936668725,25
384104833628,908,1295457713265,1295574865881,1298496044475,114
381897744322,38,785572006279,785572425714,785634313928,118
394842369852,0,1982148260083,1982149355996,1982767835096,25
385500938764,0,1643479270034,1643515024429,1644985591070,115
380653903901,0,528473389170,529391653718,531455224758,115
386604990665,0,1716801224090,1717225931028,1717242254480,115
381223962570,0,686211398399,686257558780,686557492460,115
385644741436,0,1698776289278,1701848141058,1702812429231,115
380944216346,201,606990474813,607096713878,610168342570,114
377784252949,0,207022984684,207990317956,209504614056,115
394119714065,24,1923462857123,1923463037304,1923711003418,118
384288964664,44,1350810238780,1350909469516,1353637153476,116
397028619985,0,2162903827425,2162933845084,2163097799046,115
380516550254,876,506180386989,516829803318,518585400564,101
396187620585,210,2084009048100,2084107394643,2087114679261,114
380719157733,9,565313997209,565314553133,565716674347,118
384623185249,49,1437390063686,1437409673786,1442147506062,118
384271369531,0,1338937716130,1359726055019,1359750988429,115
380180415891,14,441023250419,441031584785,444752592194,118
384470067653,0,1378203742594,1383266310749,1386657315112,115
400083720713,539,2602809776462,2602871286469,2603482187309,116
399967404588,0,2581853575187,2582793227347,2583689845197,115
381146450624,0,672088133157,673176878824,673562364761,115
400074319834,0,2601619656297,2601622047454,2601645063371,25
399312071405,81,2417940161663,2418003586272,2418383052852,118
394054919337,0,1901476923501,1901476978658,1901568814419,25
400084943890,0,2603598147017,2603608078979,2604463452616,115
399040951801,0,2391213894785,2392161915520,2393100906218,115
380962866079,0,609513879641,610464877542,611719335450,115
398887833654,0,2347860074758,2347873502083,2347902637186,115
398653038043,360,2340893818166,2341005057762,2342671065754,116
396211131174,0,2093147964869,2093173579077,2093390915342,115
375068871052,118,21250354745,21311959997,23350058699,116
399529345860,0,2482028661034,2493920665322,2499522343506,115
398499173674,71,2326540689382,2326541369108,2330294692426,118
380546897667,0,510770622880,510878878208,510899355714,116
393905886905,190,1854323491968,1854334337438,1858131169564,118
380900425533,0,599736116842,599785479140,600385564640,115
379490047096,922,365333590978,365447194261,365668239230,116
398916234946,0,2355032314176,2355059549525,2356246394699,115
398110772507,598,2303198897163,2303308397659,2314252694696,116
393641755447,0,1837250979866,1837259065665,1837294449127,115
395367079341,0,2029696891917,2037113763519,2037137802095,115
397993036104,851,2258155614118,2258251797899,2258880656843,116
397124096620,234,2168413747739,2168506762239,2169315959170,116
